Website: https://mobisoftinfotech.com/tools/plot-multiple-points-on-map/

Template:
19.0760,72.8777,#00FF00,marker,"Mumbai"
18.5204,73.8567,red,square,"Pune"
40.7128,-74.0060,#333,circle,"New York"
-33.9249,18.4241,red,square,"Cape Town"
-22.9068,-43.1729,blue,marker,"Rio de Janeiro"

Actual Coordinates

-35.3631748, 149.165069,red, marker, "Person1"
-35.3633794, 149.1654061, red, marker, "Person2"
-35.3634607, 149.1650938, red, marker, "Person3"
-35.3631265 149.1653252, red, marker, "Person4"
-35.3634764, 149.1648519, red, marker, "Vehicle1"
-35.3636816, 149.1652431, red, marker, "Vehicle2"

Coordinates from Experiment1
-35.36312201246845, 149.16531829146996, blue, marker, "person" 
-35.3635886225793, 149.1654810253614, blue, marker, "person"
-35.36352581208181, 149.16547000495225, blue, marker, "person" 
-35.36338298748583, 149.16540521621798, blue, marker, "person" 
-35.36310543171895, 149.16534838299975, blue, marker, "person" 
-35.36343867382727, 149.16540671687454, blue, marker, "person" 
-35.36333279589403, 149.1653843057798, blue, marker, "person" 
-35.36361613898482, 149.1654326893063, blue, marker, "person" 
-35.36316744550328, 149.16531647903764, blue, marker, "person" 
-35.363474360365984, 149.16534627733233, blue, marker, "person" 
-35.363328554355505, 149.16529485672083, blue, marker, "person" 
-35.363394936362305, 149.16530857376358, blue, marker, "person" 
-35.363173741732744, 149.1652413134799, blue, marker, "person" 
-35.363157445973485, 149.16519326453445, blue, marker, "person" 
-35.36322886415205, 149.16518489731843, blue, marker, "person" 
-35.363165643919324, 149.16514887846574, blue, marker, "person" 
-35.36364717944656, 149.16521697428, blue, marker, "person" 
-35.363174920896135, 149.16508481401362, blue, marker, "person" 
-35.36314129801099, 149.16509883113358, blue, marker, "person" 
-35.36347778975552, 149.16513541243177, blue, marker, "person" 


Coordinates from Experiment 2:

-35.363130532182744, 149.16531543919572, blue, marker, "person" 
-35.36337261785054, 149.16539361783464, blue, marker, "person" 
-35.36317327506035, 149.16536442362002, blue, marker, "person" 
-35.36366597199989, 149.16546230320034, blue, marker, "person" 
-35.36345481034834, 149.16541154662028, blue, marker, "person" 
-35.36309610299299, 149.16532401123706, blue, marker, "person" 
-35.36332482734358, 149.16536030665125, blue, marker, "person" 
-35.36316708258252, 149.1652830524059, blue, marker, "person" 
-35.36317672472601, 149.16506091193344, blue, marker, "person" 
-35.36314684707679, 149.16506750880643, blue, marker, "person" 
-35.36344190334754, 149.16507268777454, blue, marker, "person" 
-35.36344755911687, 149.16511810507075, blue, marker, "person" 
-35.36347265232421, 149.16507977249782, blue, marker, "person" 
-35.36325976488927, 149.1650564179657, blue, marker, "person" 
-35.36341833900405, 149.16538019670233, blue, marker, "person" 
